=== REPORTE SCRAPING MAPS ===;;
Fecha:;2026-05-04;
ID Run:;20260504_143023_6d6622d2;
Tiempo de Ejecución:;0:00:34;
;;
--- RESUMEN ---;;
Total Procesados:;5;
Nuevos Registrados:;2;
Modificados (Actualizados):;3;
Sin Cambios:;0;
;;
--- DETALLE DE LOCALES ---;;
Nombre del Local;ID de Google;Estado en BD
Bigalia Pizza Napolitana;0x967e0983102677b5:0x79ff224cad2c984d;UPDATED
Bigalia Pizza Napolitana;0x967e0983102677b5:0x79ff224cad2c984d;UPDATED
Solo Muzza;0x967e0990cfa23039:0x4450108d1837e1ad;UPDATED
𝙿𝙸𝚉𝚉𝙴𝚁Í𝙰 POPULAR – ʀɪɴᴄᴏ́ɴ ɴᴜᴇsᴛʀᴏ;0x967e099d869413ff:0xfe0aa57ef390a6b1;NEW
Andiamo bene pizzeria;0x967e0b0e41a2449f:0xb40240625d290ed;NEW
